case_id,stl_path,stl_exists,target_wall_thickness_mm,wall_thickness_compliance_fraction,smoothing_volume_change_relative,status,stl_loadable,watertight,watertight_after_repair,non_manifold_edge_count,non_manifold_edge_count_after_repair,connected_component_count,mesh_volume_mm3,surface_area_mm2,bbox_x_mm,bbox_y_mm,bbox_z_mm,edge_length_min_mm,edge_length_median_mm,edge_length_mean_mm,estimated_minimum_feature_size_mm,repair_success,slicer_compatibility_proxy,slicer_proxy_notes
946,outputs/phase_b_mesh_qc/case_outputs/946/segmentation_repaired.stl,True,3.0,0.07335596096733135,-0.00298270751670958,ok,True,True,True,0,0,7,5000.049427912184,5896.751488373177,138.60000228881836,79.20000839233398,91.80000114440918,0.424252200193688,0.5999984741210938,0.5911455901086061,0.424252200193688,True,True,loadable STL and repaired mesh has no non-manifold edges
947,outputs/phase_b_mesh_qc/case_outputs/947/segmentation_repaired.stl,True,3.0,0.13551278134229555,-0.0023566001618918683,ok,True,True,True,0,0,12,10444.690507947678,11073.873326423882,129.60001182556152,116.40001106262207,95.40000438690186,0.4242468053627785,0.5999984741210938,0.59218404481292,0.4242468053627785,True,True,loadable STL and repaired mesh has no non-manifold edges
948,outputs/phase_b_mesh_qc/case_outputs/948/segmentation_repaired.stl,True,3.0,0.12489440783916202,-0.0021476821072837437,ok,True,True,True,0,0,7,10078.22780960603,10738.41904198902,155.4000015258789,102.60000991821289,87.00000381469727,0.4242468053627785,0.5999984741210938,0.5924751638691232,0.4242468053627785,True,True,loadable STL and repaired mesh has no non-manifold edges
949,outputs/phase_b_mesh_qc/case_outputs/949/segmentation_repaired.stl,True,3.0,0.06241575557885278,-0.0033191081878993912,ok,True,True,True,0,0,5,5657.292960697497,6928.119604230071,108.0,92.99999618530273,94.20000457763672,0.4242468053627785,0.5999984741210938,0.5905863287196792,0.4242468053627785,True,True,loadable STL and repaired mesh has no non-manifold edges
950,outputs/phase_b_mesh_qc/case_outputs/950/segmentation_repaired.stl,True,3.0,0.06212811992890812,-0.003770217031312821,ok,True,True,True,0,0,16,5472.900375794795,6846.06251248684,116.40001106262207,112.80000305175781,82.80000305175781,0.4242468053627785,0.5999984741210938,0.589088786552253,0.4242468053627785,True,True,loadable STL and repaired mesh has no non-manifold edges
951,outputs/phase_b_mesh_qc/case_outputs/951/segmentation_repaired.stl,True,3.0,0.14702198419211332,-0.002101908782128652,ok,True,True,True,0,0,9,9861.7598545479,10137.789256446658,122.39999771118164,145.20001220703125,81.60000228881836,0.4242468053627785,0.5999984741210938,0.5917628801036224,0.4242468053627785,True,True,loadable STL and repaired mesh has no non-manifold edges
952,outputs/phase_b_mesh_qc/case_outputs/952/segmentation_repaired.stl,True,3.0,0.0807996806599694,-0.0028378576117864852,ok,True,True,True,0,0,5,6378.804495488745,7479.322714070159,109.79999923706055,99.0,85.20000267028809,0.4242468053627785,0.5999984741210938,0.5916159466911338,0.4242468053627785,True,True,loadable STL and repaired mesh has no non-manifold edges
953,outputs/phase_b_mesh_qc/case_outputs/953/segmentation_repaired.stl,True,3.0,0.08635694765608577,-0.0030707056048294647,ok,True,True,True,0,0,10,10087.336915239743,11993.339231363987,112.19999885559082,101.39999961853027,94.80000305175781,0.424252200193688,0.5999984741210938,0.5913360546478276,0.424252200193688,True,True,loadable STL and repaired mesh has no non-manifold edges
954,outputs/phase_b_mesh_qc/case_outputs/954/segmentation_repaired.stl,True,3.0,0.08893221851350011,-0.0026361166127602765,ok,True,True,True,0,0,5,6425.640886573977,7342.701709608027,108.0000057220459,83.40000534057617,92.40000104904175,0.4242468053627785,0.5999984741210938,0.5893990366562591,0.4242468053627785,True,True,loadable STL and repaired mesh has no non-manifold edges
955,outputs/phase_b_mesh_qc/case_outputs/955/segmentation_repaired.stl,True,3.0,0.09233523485859935,-0.002781506167045769,ok,True,True,True,0,0,6,6990.705966138539,8185.527802921982,102.00000190734863,81.00000762939453,107.40000247955322,0.424252200193688,0.5999984741210938,0.5916554234569623,0.424252200193688,True,True,loadable STL and repaired mesh has no non-manifold edges
